# Time-averaged data for fix myat1
# TimeStep v_kinetic_energy v_potential_energy v_pressure
6890 1.03305 -1.29738 0.886279
6900 1.05377 -1.31806 0.839183
6910 1.01803 -1.31447 0.847966
6920 1.00938 -1.32345 0.810278
6930 1.00544 -1.32289 0.808333
6940 1.00203 -1.3183 0.824774
6950 1.04495 -1.32859 0.780966
6960 0.999248 -1.31338 0.801683
6970 1.02069 -1.30133 0.841942
6980 1.02152 -1.30731 0.809804
6990 1.0219 -1.32208 0.745817
7000 0.975502 -1.30815 0.786041
7010 0.986245 -1.30721 0.807309
7020 1.05713 -1.30936 0.825951
7030 1.02121 -1.30032 0.844568
7040 0.997911 -1.29525 0.848317
7050 1.03323 -1.28487 0.878799
7060 0.990237 -1.28398 0.856828
7070 1.01728 -1.2871 0.862597
7080 1.05584 -1.30435 0.816481
7090 0.981389 -1.30435 0.804081
7100 0.959333 -1.31849 0.768236
7110 0.937758 -1.32732 0.73945
7120 0.942621 -1.31518 0.776981
7130 0.983048 -1.3214 0.763909
7140 0.969914 -1.31784 0.768811
7150 0.99569 -1.32298 0.763989
7160 1.03111 -1.30634 0.831696
7170 0.98744 -1.31769 0.769739
7180 1.00033 -1.3475 0.681153
7190 1.0272 -1.3212 0.798033
7200 1.00239 -1.30785 0.820166
7210 1.00669 -1.32803 0.731498
7220 0.978726 -1.33756 0.671833
7230 1.00507 -1.33582 0.694817
7240 0.985943 -1.29288 0.83703
7250 0.983014 -1.3234 0.726857
7260 0.949708 -1.31341 0.748678
7270 0.965272 -1.31264 0.765165
7280 1.00581 -1.33061 0.739688
7290 1.00141 -1.32127 0.793172
7300 0.97437 -1.30122 0.860948
7310 0.98509 -1.31098 0.820009
7320 1.00996 -1.32514 0.796226
7330 0.997943 -1.30884 0.839904
7340 1.03032 -1.31953 0.809581
